sigma,N,alpha,functional_form,sigma_query_mult,mu_push_mean,mu_push_sd,mu_push_p25,mu_push_p975,mu_pull_mean,mu_pull_sd,mu_pull_p25,mu_pull_p975,mu_alpha_mean,cohens_d,ratio_push_pull,n_trials
0.1,500,0.4,log_quadratic,0.01,0.14615773834042955,0.0029664016810952453,0.14035521029680795,0.15197575541238972,7.997869858079055e-06,1.7836224179021469e-07,7.65248316729044e-06,8.351134793372568e-06,0.08769784215220099,69.6759801797506,18274.583224530492,10000
0.1,500,0.4,log_quadratic,0.1,0.14617219538036483,0.0029808283755014963,0.1403924245679272,0.15201070844739598,0.0007995146353606119,1.781016423651489e-05,0.000765484215517371,0.0008350450486953357,0.08802312308236314,68.96886409269092,182.82616592057198,10000
0.1,500,0.4,log_quadratic,0.3,0.14610977924149784,0.0030017151567038923,0.14019280757113362,0.15206118820535805,0.007168098322863349,0.0001583282493178867,0.006861188732881619,0.0074804479724387765,0.09053310687404405,65.36944153806336,20.38333915921137,10000
0.1,500,0.6,quadratic,0.01,0.16004323035434811,0.0035577572083242714,0.15313213206845258,0.16699749714160458,7.997397634249996e-06,1.8037827986772496e-07,7.647344504901455e-06,8.350005471057418e-06,0.06402209058031978,63.61423317040819,20011.913584106427,10000
0.1,500,0.6,quadratic,0.1,0.15996948215610432,0.0035969430345728194,0.1529620639965485,0.16711752685310263,0.0007998407852109594,1.7933783812898097e-05,0.0007650215213846183,0.0008357091254047545,0.06446769733356832,62.58010360440297,200.00165672210886,10000
0.1,500,0.6,quadratic,0.3,0.16002374883062384,0.0035887694106790722,0.1530284499716717,0.16705124343636812,0.007204123699546187,0.00015875469303598664,0.0068922357465033245,0.007522909871319795,0.06833197375197725,60.16224855812518,22.212798600432734,10000
0.1,500,0.6,l1,0.01,0.9026877777496757,0.01083011755853207,0.8814975045466027,0.9238652576883836,0.006381976049044941,7.677740083427263e-05,0.006233271935081877,0.0065304686752795955,0.3649042967292972,117.03806194015053,141.44330389405997,10000
0.1,500,0.6,l1,0.1,0.9026601558055236,0.010763706116668728,0.8817526843733055,0.9237952717328672,0.06383514863729185,0.0007647724120267686,0.06235543876487948,0.06533687029161828,0.3993651515045845,109.93375940745572,14.14048803950303,10000
0.1,500,0.6,l1,0.3,0.9026574174374166,0.010802247989305505,0.881430965674663,0.9238345508223015,0.19150446846400282,0.00228151529160364,0.18700884263942155,0.19592739875737722,0.4759656480533683,91.09343391013361,4.71350577183576,10000
0.1,500,0.6,log_quadratic,0.01,0.1461806271509113,0.0030018319490559653,0.14042423276094135,0.15218032846413537,8.000137662917554e-06,1.8021418759550883e-07,7.653787583343533e-06,8.35568891877273e-06,0.05847705094296229,68.86438505071023,18272.263967217907,10000
